Customer Name,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_Score,Segment
Aaron Bergman,416,3,886.156,1,1,1,111,Lost
Aaron Hawkins,13,7,1744.7,4,3,2,432,Loyal Customers
Aaron Smayling,89,7,3050.692,2,3,3,233,At Risk
Adam Bellavance,55,8,7755.619999999999,3,3,4,334,Loyal Customers
Adam Hart,35,10,3250.337,3,4,3,343,Loyal Customers
Adam Shillingsburg,29,9,3255.31,4,4,3,443,Loyal Customers
Adrian Barton,42,10,14473.571,3,4,4,344,Loyal Customers
Adrian Hane,61,7,1735.5140000000001,3,3,2,332,Loyal Customers
Adrian Shami,42,2,58.82,3,1,1,311,Regular
Aimee Bixby,42,5,966.71,3,1,1,311,Regular
Alan Barnes,11,10,1215.022,4,4,2,442,Loyal Customers
Alan Dominguez,30,8,6106.88,4,3,4,434,Loyal Customers
Alan Haines,56,4,1587.452,3,1,2,312,Regular
Alan Hwang,7,9,4805.344,4,4,4,444,Champions
Alan Schoenberger,23,5,4260.784,4,1,4,414,Regular
Alan Shonely,193,7,584.6080000000001,1,3,1,131,At Risk
Alejandro Ballentine,167,9,914.5319999999999,2,4,1,241,At Risk
Alejandro Grove,102,9,2720.386,2,4,3,243,At Risk
Alejandro Savely,20,6,3214.236,4,2,3,423,Regular
Aleksandra Gannaway,119,4,367.548,2,1,1,211,Regular
Alex Avila,185,5,5563.56,1,1,4,114,Lost
Alex Grayson,9,5,660.972,4,1,1,411,Regular
Alex Russell,112,6,1073.354,2,2,1,221,Regular
Alice McCarthy,29,5,814.012,4,1,1,411,Regular
Allen Armold,20,9,1056.39,4,4,1,441,Loyal Customers
Allen Goldenen,115,5,200.945,2,1,1,211,Regular
Allen Rosenblatt,126,5,2236.1279999999997,2,2,2,222,Regular
Alyssa Crouse,233,3,925.8,1,1,1,111,Lost
Alyssa Tate,22,6,1171.814,4,2,2,422,Regular
Amy Cox,12,7,5527.846,4,3,4,434,Loyal Customers
Amy Hunt,231,5,2495.3916,1,2,3,123,Regular
Andrew Allen,260,4,1790.512,1,1,2,112,Lost
Andrew Gjertsen,79,8,2356.855,2,3,3,233,At Risk
Andrew Roberts,15,5,264.864,4,2,1,421,Regular
Andy Gerbode,845,4,1455.038,1,1,2,112,Lost
Andy Reiter,7,6,6608.448,4,2,4,424,Regular
Andy Yotov,15,4,497.014,4,1,1,411,Regular
Anemone Ratner,535,1,88.15,1,1,1,111,Lost
Angele Hood,22,4,738.504,4,1,1,411,Regular
Ann Blume,51,4,1515.862,3,1,2,312,Regular
Ann Chong,7,5,2537.686,4,2,3,423,Regular
Ann Steele,93,7,833.398,2,3,1,231,At Risk
Anna Andreadi,56,6,5086.9349999999995,3,2,4,324,Regular
Anna Chung,283,5,657.316,1,2,1,121,Regular
Anna Gayman,98,7,3489.0396,2,3,3,233,At Risk
Anna Häberlin,411,12,7888.294,1,4,4,144,At Risk
Anne McFarland,163,8,5664.022,2,3,4,234,At Risk
Anne Pryor,42,8,1638.554,3,3,2,332,Loyal Customers
Annie Thurman,14,10,3831.8639999999996,4,4,4,444,Champions
Annie Zypern,161,6,1622.018,2,2,2,222,Regular
Anthony Garverick,78,4,170.584,2,1,1,211,Regular
Anthony Jacobs,76,7,4867.344,2,3,4,234,At Risk
